Stimuliname	ID	Word	DepRel	Head	POStag	Av fixation duration	First fixation duration on every word	Fixation binary	HowOftenNews	HowOftenTweets	InterestRating	InterestRating n std from mean	Mean fixation duration	Next fixation duration	Next word fixated binary	P1stFix	P2ndFix	Previous fixation duration	Previous word fixated binary	Reading time per sent norm	Sentence len	Share of fixated words per sent	TimePrctg	Total fixation duration per word	Total regression from duration	Total regresssion to duration	Word len	nFixations	nFixations per sent norm	nLong regressions from	nLong regressions per sent norm	nLong regressions to	nRefixations	nRefixations per sent norm	nRegressions from	nRegressions per sent norm	nRegressions to
HDL0003.png	1	Jewelry	nn	2	NN	234.12962963	174.0	0.777777777778	2.88888888889	1.77777777778	2.66666666667	0.0815858431444	310.899290524	281.444444444	1.0	0.222222222222	0.222222222222	238.777777778	0.0	438.962962963	6.0	0.814814814811	0.125356632378	315.555555556	134.222222222	0.0	7.0	1.11111111111	1.4074074074	0.0	0.0	0.0	0.111111111111	0.277777777778	0.777777777778	0.314814814811	0.0
HDL0003.png	2	Makers	nsubj	3	NNS	311.592592593	190.666666667	1.0	2.88888888889	1.77777777778	2.66666666667	0.0815858431444	310.899290524	217.333333333	0.888888888889	0.444444444444	0.666666666667	447.888888889	0.777777777778	438.962962963	6.0	0.814814814811	0.187520542533	483.111111111	190.555555556	86.0	6.0	1.77777777778	1.4074074074	0.0	0.0	0.0	0.333333333333	0.277777777778	0.555555555556	0.314814814811	0.444444444444
HDL0003.png	3	Copy	root	0	VBP	320.055555556	238.666666667	0.888888888889	2.88888888889	1.77777777778	2.66666666667	0.0815858431444	310.899290524	226.666666667	0.888888888889	0.111111111111	0.111111111111	196.222222222	1.0	438.962962963	6.0	0.814814814811	0.166142468056	409.777777778	108.333333333	110.111111111	4.0	1.55555555556	1.4074074074	0.0	0.0	0.0	0.0	0.277777777778	0.444444444444	0.314814814811	0.333333333333
HDL0003.png	4	Cosmetics	nn	5	NNS	333.777777778	200.888888889	0.888888888889	2.88888888889	1.77777777778	2.66666666667	0.0815858431444	310.899290524	348.888888889	0.555555555556	0.222222222222	0.0	219.222222222	0.888888888889	438.962962963	6.0	0.814814814811	0.181278848967	488.555555556	18.5555555556	132.333333333	9.0	2.0	1.4074074074	0.0	0.0	0.0	0.555555555556	0.277777777778	0.111111111111	0.314814814811	0.666666666667
HDL0003.png	5	Sales	nn	6	NNS	197.277777778	174.888888889	0.555555555556	2.88888888889	1.77777777778	2.66666666667	0.0815858431444	310.899290524	279.444444444	0.777777777778	0.0	0.0	119.333333333	0.888888888889	438.962962963	6.0	0.814814814811	0.100545633789	229.555555556	0.0	27.7777777778	5.0	0.777777777778	1.4074074074	0.0	0.0	0.0	0.222222222222	0.277777777778	0.0	0.314814814811	0.111111111111
HDL0003.png	6	Ploys	dobj	3	NNS	568.037037037	434.111111111	0.777777777778	2.88888888889	1.77777777778	2.66666666667	0.0815858431444	310.899290524	252.666666667	0.0	0.0	0.0	368.333333333	0.555555555556	438.962962963	6.0	0.814814814811	0.239155874278	707.222222222	0.0	82.4444444444	5.0	1.22222222222	1.4074074074	0.0	0.0	0.0	0.444444444444	0.277777777778	0.0	0.314814814811	0.333333333333
HDL0005.png	1	Braumeisters	nn	2	NNPS	267.148148148	162.111111111	0.888888888889	2.88888888889	1.77777777778	3.22222222222	0.511051002	224.883517822	173.888888889	0.333333333333	0.222222222222	0.777777777778	233.111111111	0.0	205.03968254	14.0	0.619047619056	0.133131370811	428.444444444	285.0	0.0	12.0	2.0	0.880952380956	0.0	0.0793650793556	0.111111111111	0.777777777778	0.111111111111	1.0	0.190476190467	0.0
HDL0005.png	2	Ltd.	nsubj	3	NNP	75.5740740741	53.5555555556	0.333333333333	2.88888888889	1.77777777778	3.22222222222	0.511051002	224.883517822	76.7777777778	0.777777777778	0.111111111111	0.111111111111	136.888888889	0.888888888889	205.03968254	14.0	0.619047619056	0.0316219568444	115.666666667	0.0	34.2222222222	4.0	0.666666666667	0.880952380956	0.0	0.0793650793556	0.0	0.111111111111	0.111111111111	0.0	0.190476190467	0.222222222222
HDL0005.png	3	tests	root	0	VBZ	213.333333333	194.333333333	0.777777777778	2.88888888889	1.77777777778	3.22222222222	0.511051002	224.883517822	147.111111111	0.222222222222	0.444444444444	0.0	194.222222222	0.333333333333	205.03968254	14.0	0.619047619056	0.0903242655444	232.333333333	25.8888888889	122.111111111	5.0	1.0	0.880952380956	0.0	0.0793650793556	0.222222222222	0.0	0.111111111111	0.111111111111	0.190476190467	0.444444444444
HDL0005.png	4	a	det	5	DT	39.8888888889	39.8888888889	0.222222222222	2.88888888889	1.77777777778	3.22222222222	0.511051002	224.883517822	27.7777777778	0.666666666667	0.0	0.0	34.3333333333	0.777777777778	205.03968254	14.0	0.619047619056	0.0113149665667	39.8888888889	15.7777777778	0.0	1.0	0.222222222222	0.880952380956	0.0	0.0793650793556	0.0	0.0	0.111111111111	0.111111111111	0.190476190467	0.0
